name,formed,dissipated,mph,damage,deaths
Gustav,08/24/1990,09/03/1990,120,0,0
Klaus,10/03/1990,10/09/1990,80,1M,11
Marco,10/09/1990,10/13/1990,65,57M,12
Bob,08/16/1991,08/29/1991,115,1.5B,17
Grace,10/25/1991,10/30/1991,105,0,0
1991 Perfect Storm,10/28/1991,11/02/1991,75,200M,13
1992 Tropical Depression One,06/25/1992,06/26/1992,35,2.6M,4
Andrew,08/16/1992,08/29/1992,175,27.3B,65
Bonnie,09/17/1992,09/30/1992,110,0,1
Arlene,06/18/1993,06/21/1993,40,60.8M,26
Bret,08/04/1993,08/11/1993,60,35.7M,213
Cindy,08/14/1993,08/17/1993,45,19M,4
Emily,08/22/1993,09/06/1993,115,35M,3
Gert,09/14/1993,09/26/1993,100,170M,116
Alberto,06/30/1994,07/07/1994,65,1.03B,32
Beryl,08/14/1994,08/19/1994,60,74.2M,5
Debby,09/09/1994,09/11/1994,70,115M,9
Florence,11/02/1994,11/08/1994,110,0,0
Gordon,11/08/1994,11/21/1994,85,594M,1152
Allison,06/03/1995,06/11/1995,75,1.7M,1
Dean,07/28/1995,08/02/1995,45,500K,1
Erin,07/31/1995,08/06/1995,100,700M,16
Felix,08/08/1995,08/25/1995,140,3.63M,9
Gabrielle,08/09/1995,08/12/1995,70,0,6
Jerry,08/22/1995,08/28/1995,40,40M,6
Luis,08/28/1995,09/12/1995,150,3.3B,19
Marilyn,09/12/1995,09/30/1995,115,2.5B,13
Opal,09/27/1995,10/06/1995,150,4.7B,63
Roxanne,10/07/1995,10/21/1995,115,1.5B,29
Tanya,10/27/1995,11/03/1995,85,0,1
Arthur,06/17/1996,06/24/1996,45,1M,0
Bertha,07/05/1996,07/18/1996,115,335M,12
Cesar–Douglas,07/24/1996,08/06/1996,130,203M,113
Edouard,08/19/1996,09/07/1996,145,20M,2
Fran,08/23/1996,09/10/1996,120,5B,22
Hortense,09/03/1996,09/16/1996,140,158M,39
Josephine,10/04/1996,10/13/1996,70,130M,3
Lili,10/14/1996,10/30/1996,115,662M,22
Marco,11/16/1996,11/26/1996,75,8.2M,15
Danny,07/16/1997,07/27/1997,80,100M,9
Erika,09/03/1997,09/20/1997,125,10M,2
Bonnie,08/19/1998,08/30/1998,115,1B,5
Charley,08/21/1998,08/24/1998,70,50M,20
Danielle,08/24/1998,09/08/1998,105,50K,0
Earl,08/31/1998,09/08/1998,100,79M,3
Frances,09/08/1998,09/13/1998,65,500M,1
Georges,09/15/1998,10/01/1998,155,9.37B,604
Hermine,09/17/1998,09/20/1998,45,85K,2
Bret,08/18/1999,08/25/1999,145,15M,1
Dennis,08/24/1999,09/09/1999,105,157M,6
Floyd,09/07/1999,09/19/1999,155,6.5B,85
Gert,09/11/1999,09/23/1999,150,1.9M,2
Harvey,09/19/1999,09/22/1999,60,22.6M,0
Irene,10/13/1999,10/24/1999,110,800M,3
Jose,10/17/1999,10/25/1999,100,5M,3
Katrina,10/28/1999,11/01/1999,40,9K,0
Lenny,11/13/1999,11/23/1999,155,786M,17
Alberto,08/03/2000,08/25/2000,125,0,0
Beryl,08/13/2000,08/15/2000,50,27K,1
Debby,08/19/2000,08/24/2000,85,735K,1
Florence,09/10/2000,09/19/2000,80,0,3
Gordon,09/14/2000,09/21/2000,80,10.8M,24
Helene,09/15/2000,09/25/2000,70,16M,1
Isaac,09/21/2000,10/04/2000,140,0,1
Joyce,09/25/2000,10/02/2000,90,0,0
Keith,09/28/2000,10/06/2000,140,319M,62
Leslie,10/04/2000,10/12/2000,45,950M,3
Allison,06/05/2001,06/20/2001,60,9B,41
Barry,08/02/2001,08/08/2001,70,30M,2
Chantal,08/14/2001,08/22/2001,70,4M,2
Dean,08/22/2001,08/28/2001,70,7.7M,0
Erin,09/01/2001,09/17/2001,120,0,0
Gabrielle,09/11/2001,09/19/2001,80,230M,2
Iris,10/04/2001,10/09/2001,145,250M,36
Karen,10/12/2001,10/15/2001,80,1.4M,0
Michelle,10/29/2001,11/06/2001,140,2.43B,48
Arthur,07/14/2002,07/19/2002,60,0,1
Bertha,08/04/2002,08/09/2002,40,200K,1
Cristobal,08/05/2002,08/13/2002,50,0,3
Fay,09/05/2002,09/11/2002,60,4.5M,0
Gustav,09/08/2002,09/15/2002,100,340K,4
Hanna,09/12/2002,09/15/2002,60,20M,3
Isidore,09/14/2002,09/27/2002,125,1.28B,19
Kyle,09/20/2002,10/14/2002,85,5M,1
Lili,09/21/2002,10/04/2002,145,1.16B,15
Ana,04/20/2003,04/27/2003,60,0,2
Bill,06/29/2003,07/03/2003,60,50.5M,4
Claudette,07/08/2003,07/17/2003,90,181M,3
Erika,08/14/2003,08/20/2003,75,100K,2
Fabian,08/27/2003,09/10/2003,145,300M,8
Grace,08/30/2003,09/02/2003,40,113K,0
Henri,09/03/2003,09/08/2003,60,19.6M,0
Isabel,09/06/2003,09/20/2003,165,3.6B,51
Juan,09/24/2003,09/29/2003,105,200M,8
Kate,09/25/2003,10/10/2003,125,0,0
Larry,10/01/2003,10/06/2003,65,53.6M,5
Nicholas,10/13/2003,11/05/2003,70,0,0
Odette,12/04/2003,12/09/2003,65,8M,8
Alex,07/31/2004,08/06/2004,120,7.5M,1
Bonnie,08/03/2004,08/14/2004,65,1.27M,3
Charley,08/09/2004,08/15/2004,150,16.9B,35
Earl,08/13/2004,08/15/2004,50,0,1
Frances,08/24/2004,09/10/2004,145,10.1B,50
Gaston,08/27/2004,09/03/2004,75,130M,8
Ivan,09/02/2004,09/25/2004,165,26.1B,124
Jeanne,09/13/2004,09/29/2004,120,7.94B,3037
Karl,09/16/2004,09/28/2004,145,0,0
Matthew,10/08/2004,10/11/2004,45,305K,0
Arlene,06/08/2005,06/14/2005,70,11.8M,2
Bret,06/28/2005,06/30/2005,40,9.3M,3
Cindy,07/03/2005,07/12/2005,75,71.5M,0
Dennis,07/04/2005,07/18/2005,150,3.98B,88
Emily,07/11/2005,07/21/2005,160,1.01B,22
Gert,07/23/2005,07/25/2005,45,6M,1
Irene,08/04/2005,08/18/2005,105,0,1
Jose,08/22/2005,08/23/2005,60,45M,16
Katrina,08/23/2005,08/31/2005,175,125B,1392
Maria,09/01/2005,09/14/2005,115,3.1M,1
Nate,09/05/2005,09/13/2005,90,0,2
Ophelia,09/06/2005,09/23/2005,85,70M,3
Rita,09/18/2005,09/26/2005,180,18.5B,120
Stan,10/01/2005,10/05/2005,80,3.96B,1668
Tammy,10/05/2005,10/06/2005,50,30M,10
Vince,10/08/2005,10/11/2005,75,0,0
Wilma,10/15/2005,10/27/2005,185,22.4B,52
Beta,10/26/2005,10/31/2005,115,15.5M,9
Gamma,11/14/2005,11/22/2005,50,18M,39
Delta,11/22/2005,11/30/2005,70,364M,7
Epsilon,11/29/2005,12/10/2005,85,0,0
Zeta,12/30/2005,01/07/2006,65,0,0
Alberto,06/10/2006,06/19/2006,70,420K,3
Beryl,07/18/2006,07/21/2006,60,0,0
Chris,08/01/2006,08/04/2006,65,0,0
Debby,08/21/2006,08/26/2006,50,0,0
Ernesto,08/24/2006,09/01/2006,75,500M,11
Florence,09/03/2006,09/19/2006,90,200K,0
Gordon,09/10/2006,09/24/2006,120,3.8M,0
Helene,09/12/2006,09/24/2006,120,0,0
Isaac,09/27/2006,10/02/2006,85,0,0
2007 Subtropical Storm Andrea,05/09/2007,05/14/2007,60,0,6
Barry,06/01/2007,06/05/2007,60,118K,1
Chantal,07/31/2007,08/05/2007,50,24.3M,0
Dean,08/13/2007,08/27/2007,175,1.66B,45
Erin,08/15/2007,08/20/2007,40,248M,21
Felix,08/31/2007,09/07/2007,175,720M,130
Gabrielle,09/08/2007,09/11/2007,60,0,1
Humberto,09/12/2007,09/14/2007,90,50M,1
2007 Tropical Depression Ten,09/21/2007,09/22/2007,35,6.2M,0
Lorenzo,09/25/2007,09/28/2007,80,92M,6
Noel,10/28/2007,11/07/2007,80,580M,222
Olga,12/11/2007,12/17/2007,60,45M,40
Arthur,05/31/2008,06/06/2008,45,78M,5
Bertha,07/03/2008,07/21/2008,125,0,3
Cristobal,07/19/2008,07/23/2008,65,10K,0
Dolly,07/20/2008,07/27/2008,100,1.6B,22
Edouard,08/03/2008,08/06/2008,65,550K,6
Fay,08/15/2008,08/29/2008,70,560M,36
Gustav,08/25/2008,09/07/2008,155,8.31B,153
Hanna,08/28/2008,09/12/2008,85,160M,537
Ike,09/01/2008,09/15/2008,145,38B,214
Kyle,09/25/2008,09/30/2008,85,57.1M,8
Laura,09/29/2008,10/04/2008,60,0,0
Marco,10/06/2008,10/07/2008,65,0,0
Omar,10/13/2008,10/21/2008,130,80M,1
Paloma,11/05/2008,11/14/2008,145,455M,1
Ana,08/11/2009,08/16/2009,40,0,0
Bill,08/15/2009,08/26/2009,130,46.2M,2
Claudette,08/16/2009,08/18/2009,60,350K,2
Danny,08/26/2009,08/29/2009,60,0,1
Erika,09/01/2009,09/04/2009,50,35K,0
Fred,09/07/2009,09/19/2009,120,0,0
Grace,10/04/2009,10/07/2009,65,0,0
Ida,11/04/2009,11/11/2009,105,11.4M,4
Alex,06/25/2010,07/06/2010,110,1.52B,51
2010 Tropical Depression Two,07/08/2010,07/10/2010,35,0,0
Bonnie,07/22/2010,07/25/2010,45,1.36M,1
Colin,08/02/2010,08/09/2010,60,0,1
2010 Tropical Depression Five,08/10/2010,08/18/2010,35,1M,2
Earl,08/25/2010,09/05/2010,145,45M,8
Hermine,09/03/2010,09/10/2010,70,740M,52
Igor,09/08/2010,09/23/2010,155,200M,4
Julia,09/12/2010,09/28/2010,140,0,0
Karl,09/14/2010,09/18/2010,125,3.9B,22
Matthew,09/23/2010,09/28/2010,60,171M,126
Nicole,09/28/2010,09/30/2010,45,245M,20
Otto,10/06/2010,10/18/2010,85,22.5M,0
Richard,10/20/2010,10/27/2010,100,80M,1
Shary,10/27/2010,10/31/2010,75,0,0
Tomas,10/29/2010,11/11/2010,100,463M,44
Arlene,06/28/2011,07/01/2011,65,223M,18
Bret,07/17/2011,07/23/2011,70,0,0
Emily,08/02/2011,08/11/2011,50,5M,4
Harvey,08/19/2011,08/22/2011,65,0,5
Irene,08/21/2011,08/30/2011,120,14.2B,58
Katia,08/29/2011,09/13/2011,140,157M,3
Lee,09/02/2011,09/07/2011,60,2.8B,18
Maria,09/06/2011,09/18/2011,80,1.3M,0
Nate,09/07/2011,09/12/2011,75,0,4
Ophelia,09/20/2011,10/07/2011,140,0,0
Rina,10/23/2011,10/29/2011,115,2.3M,0
Beryl,05/26/2012,06/02/2012,70,148K,1
Debby,06/23/2012,06/30/2012,65,250M,5
Ernesto,08/01/2012,08/10/2012,100,252M,12
Helene,08/09/2012,08/18/2012,45,17M,2
Isaac,08/21/2012,09/03/2012,80,3.11B,41
Leslie,08/30/2012,09/12/2012,80,10.1M,0
Nadine,09/10/2012,10/04/2012,90,0,0
Rafael,10/12/2012,10/26/2012,90,2M,1
Sandy,10/22/2012,11/02/2012,115,68.7B,233
Andrea,06/05/2013,06/10/2013,65,86K,1
Barry,06/17/2013,06/20/2013,45,0,5
Chantal,07/07/2013,07/10/2013,65,10M,1
Ingrid,09/12/2013,09/17/2013,85,1.5B,32
Karen,10/03/2013,10/15/2013,65,18K,0
Arthur,07/01/2014,07/09/2014,100,39.5M,2
Bertha,08/01/2014,08/16/2014,80,0,4
Dolly,09/01/2014,09/04/2014,50,22.2M,1
Fay,10/10/2014,10/13/2014,80,3.8M,0
Gonzalo,10/12/2014,10/20/2014,145,317M,6
Ana,05/08/2015,05/12/2015,60,0,1
Bill,06/16/2015,06/23/2015,60,100M,8
Danny,08/18/2015,08/24/2015,125,0,0
Erika,08/24/2015,09/03/2015,50,511M,35
Fred,08/30/2015,09/06/2015,85,2.5M,9
Joaquin,09/28/2015,10/15/2015,155,200M,34
Kate,11/08/2015,11/13/2015,85,0,0
Alex,01/12/2016,01/17/2016,85,0,1
Bonnie,05/27/2016,06/09/2016,45,640K,2
Colin,06/05/2016,06/08/2016,50,1.04M,6
Hermine,08/28/2016,09/08/2016,80,550M,4
Julia,09/13/2016,09/21/2016,50,6.13M,0
Matthew,09/28/2016,10/10/2016,165,16.5B,603
Nicole,10/04/2016,10/20/2016,140,15M,1
Otto,11/20/2016,11/26/2016,115,192M,23
Bret,06/19/2017,06/20/2017,50,3M,1
Cindy,06/20/2017,06/24/2017,60,25M,2
Emily,07/30/2017,08/02/2017,60,10M,0
Franklin,08/07/2017,08/10/2017,85,15M,0
Gert,08/12/2017,08/18/2017,110,0,2
Harvey,08/17/2017,09/02/2017,130,125B,107
Irma,08/30/2017,09/13/2017,180,77.2B,52
Jose,09/05/2017,09/25/2017,155,2.84M,1
Katia,09/05/2017,09/09/2017,105,3.26M,3
Maria,09/16/2017,10/02/2017,175,91.6B,3059
Nate,10/04/2017,10/11/2017,90,787M,48
Ophelia,10/09/2017,10/18/2017,115,87.7M,3
Philippe,10/28/2017,10/29/2017,40,100M,5
2017 Potential Tropical Cyclone Ten,08/27/2017,09/03/2017,45,1.92M,2
Alberto,05/25/2018,06/01/2018,65,125M,18
Beryl,07/04/2018,07/17/2018,80,1M,0
Chris,07/06/2018,07/17/2018,105,0,1
Florence,08/31/2018,09/18/2018,150,24.2B,24
Gordon,09/03/2018,09/08/2018,70,200M,3
Kirk,09/22/2018,09/28/2018,65,440K,2
Leslie,09/23/2018,10/16/2018,90,500M,17
Michael,10/07/2018,10/16/2018,160,25.5B,74
Barry,07/11/2019,07/19/2019,75,900M,3
Dorian,08/24/2019,09/10/2019,185,5.1B,84
Fernand,09/03/2019,09/05/2019,50,11.3M,1
Humberto,09/13/2019,09/20/2019,125,25M,2
Imelda,09/17/2019,09/19/2019,45,5B,7
Karen,09/22/2019,09/27/2019,45,3.53M,0
Lorenzo,09/23/2019,10/07/2019,160,367M,19
Melissa,10/11/2019,10/14/2019,65,24K,0
Nestor,10/18/2019,10/21/2019,60,150M,3
Pablo,10/25/2019,10/29/2019,80,0,0
Olga,10/25/2019,10/27/2019,45,400M,2
Arthur,05/16/2020,05/21/2020,60,112K,0
Bertha,05/27/2020,05/28/2020,50,130K,1
Amanda and Cristobal,06/01/2020,06/12/2020,60,865M,46
Fay,07/09/2020,07/12/2020,60,220M,6
Hanna,07/23/2020,07/26/2020,90,1.2B,9
Isaias,07/30/2020,08/05/2020,90,5.03B,17
Laura,08/20/2020,08/29/2020,150,23.3B,81
Marco,08/21/2020,08/26/2020,75,35M,0
Paulette,09/07/2020,09/28/2020,105,50M,2
Sally,09/11/2020,09/18/2020,110,7.3B,4
Teddy,09/12/2020,09/24/2020,140,35M,3
2020 Subtropical Storm Alpha,09/17/2020,09/19/2020,50,24.2M,1
Beta,09/17/2020,09/25/2020,65,225M,1
Gamma,10/02/2020,10/06/2020,75,100M,6
Delta,10/04/2020,10/12/2020,140,3.09B,6
Epsilon,10/19/2020,10/26/2020,115,0,1
Zeta,10/24/2020,10/30/2020,115,4.4B,9
Eta,10/31/2020,11/14/2020,150,8.3B,175
Iota,11/13/2020,11/18/2020,155,1.4B,84
Claudette,06/19/2021,06/23/2021,45,375M,4
Danny,06/27/2021,06/29/2021,45,5K,0
Elsa,06/30/2021,07/10/2021,85,1.2B,13
Fred,08/11/2021,08/20/2021,65,1.3B,7
Grace,08/13/2021,08/21/2021,120,513M,16
Henri,08/15/2021,08/21/2021,75,700M,2
Ida,08/26/2021,09/05/2021,150,75.3B,107
Larry,08/31/2021,09/12/2021,125,80M,5
Mindy,09/08/2021,09/11/2021,60,75.2M,23
Nicholas,09/12/2021,09/20/2021,75,1.1B,2
Alex,06/05/2022,06/07/2022,70,0,4
Bonnie,07/01/2022,07/11/2022,115,25M,5
Danielle,09/01/2022,09/15/2022,85,0,0
Earl,09/02/2022,09/15/2022,110,0,2
Fiona,09/14/2022,09/27/2022,140,3.09B,29
Ian,09/23/2022,10/01/2022,160,113B,161
Hermine,09/23/2022,09/26/2022,40,9.8M,0
Julia,10/07/2022,10/10/2022,85,406M,35
Nicole,11/07/2022,11/11/2022,75,1B,11
